School,Class,Position(s),Height,Height (dec),Weight,Tankathon Rank,Age,Wingspan,Wingspan (dec),G,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,BLK,STL,TO,PF,PTS,G per 36,MP per 36,FGA per 36,FG% per 36,3PA per 36,3P% per 36,FTA per 36,FT% per 36,REB per 36,AST per 36,BLK per 36,STL per 36,TO per 36,PF per 36,PTS per 36,True Shooting %TS%,Effective FG%EFG%,3PA Rate3PAR,FTA RateFTAR,Proj NBA 3P%NBA 3P%,USG%,AST/USG,AST/TO,PER,OWS/40,DWS/40,WS/40,ORTG,DRTG,OBPM,DBPM,BPM,Name
Tennessee,Senior,['SG'],"6'5""",6.42,207,48,23.5,,,19.0,30.2,7.6,15.3,0.416,4.3,8.5,0.426,2.4,2.6,0.776,3.2,1.2,0.1,1.2,1.2,1.5,18.4,19.0,36.0,18.3,0.416,10.2,0.426,3.1,0.776,3.8,1.4,0.1,1.4,1.4,1.8,21.9,0.555,0.534,0.557,0.168,0.402,30.2,0.28,0.96,20.0,0.119,0.098,0.216,,,6.1,3.1,9.1,Chaz Lanier
Perth (NBL),International,['PF'],"6'10.5""",6.88,220,20,20.04,"7'1""",7.08,27.0,18.4,7.0,6.9,0.524,0.5,0.8,0.333,2.6,2.3,0.581,4.7,0.9,0.4,0.6,0.6,1.7,8.8,27.0,36.0,13.4,0.524,1.5,0.333,4.5,0.581,9.3,1.8,0.7,1.1,1.2,3.4,17.1,0.553,0.543,0.114,0.335,0.31,19.1,0.39,1.56,17.5,,,,120.7,114.5,,,,Izan Almansa
Stanford,Senior,['C'],"7'1""",7.08,245,56,22.2,,,18.0,34.2,8.3,16.1,0.491,1.9,5.2,0.344,3.4,4.3,0.744,11.6,1.7,1.1,0.9,2.3,1.7,20.8,18.0,36.0,16.9,0.491,5.4,0.344,4.6,0.744,12.2,1.8,1.2,1.0,2.5,1.8,21.9,0.574,0.547,0.322,0.27,0.356,30.3,0.38,0.71,26.8,0.123,0.065,0.188,,,7.3,-0.1,7.2,Maxime Raynaud
Vechta (Germany),International,['C'],"6'9""",6.75,234,52,19.85,,,22.0,24.9,3.9,5.7,0.472,1.1,2.0,0.386,3.1,2.9,0.746,5.6,0.7,2.0,0.4,1.1,3.0,8.3,22.0,36.0,8.2,0.472,2.9,0.386,4.1,0.746,8.1,1.0,2.9,0.5,1.6,4.4,12.0,0.587,0.54,0.352,0.504,0.345,14.9,0.31,0.6,15.4,,,,119.9,110.6,,,,Johann Grünloh
Houston,Sophomore,['PF'],"6'8""",6.67,230,38,20.1,,,17.0,20.7,3.8,4.3,0.507,0.3,0.5,0.375,2.0,2.2,0.541,5.7,1.1,2.4,0.8,1.2,3.2,5.7,17.0,36.0,7.5,0.507,0.8,0.375,3.8,0.541,9.9,1.8,4.1,1.3,2.0,5.5,9.9,0.535,0.527,0.11,0.507,0.3,16.5,0.53,0.9,21.0,0.068,0.148,0.216,,,2.0,7.8,9.7,JoJo Tugler
Cincinnati,Junior,['SF'],"6'7.75""",6.65,210,21,21.71,"6'10""",6.83,18.0,27.4,6.4,7.8,0.629,0.4,1.2,0.273,1.3,2.6,0.391,6.6,1.3,0.7,1.6,1.2,1.6,11.1,18.0,36.0,10.2,0.629,1.6,0.273,3.4,0.391,8.7,1.7,0.9,2.1,1.5,2.0,14.6,0.618,0.65,0.157,0.329,0.281,19.1,0.48,1.1,22.8,0.089,0.121,0.211,,,3.2,5.5,8.8,Dillon Mitchell
Syracuse,Freshman,['PF'],"6'10""",6.83,213,47,19.85,,,14.0,25.5,6.9,9.6,0.504,1.2,2.6,0.333,3.9,3.5,0.796,7.9,1.4,0.4,0.4,1.8,1.7,13.4,14.0,36.0,13.6,0.504,3.6,0.333,4.9,0.796,11.2,1.9,0.5,0.5,2.5,2.4,18.9,0.591,0.548,0.267,0.363,0.351,25.1,0.44,0.76,20.6,0.078,0.056,0.134,,,3.9,0.6,4.5,Donnie Freeman
Duke,Freshman,"['SG', 'SF']","6'7""",6.58,217,6,19.88,,,18.0,29.0,5.3,9.7,0.443,2.8,6.1,0.376,2.3,2.1,0.892,3.3,2.7,0.1,0.6,1.1,2.2,12.7,18.0,36.0,12.0,0.443,7.5,0.376,2.6,0.892,4.1,3.4,0.1,0.8,1.3,2.7,15.7,0.595,0.56,0.626,0.213,0.393,20.8,0.8,2.58,17.6,0.123,0.092,0.215,,,4.7,3.9,8.6,Kon Knueppel
Saint Joseph's,Junior,['PF'],"6'9""",6.75,240,27,20.95,,,19.0,30.7,6.8,10.4,0.561,2.2,4.4,0.417,2.8,3.5,0.672,9.3,1.4,1.5,1.7,1.7,2.6,15.9,19.0,36.0,12.2,0.561,5.2,0.417,4.1,0.672,10.8,1.6,1.8,2.0,2.0,3.0,18.6,0.657,0.649,0.424,0.338,0.353,22.7,0.41,0.79,26.2,0.116,0.11,0.226,,,5.5,3.7,9.3,Rasheer Fleming
Illinois,Freshman,"['PG', 'SG']","6'6""",6.5,205,4,19.06,,,16.0,29.8,5.8,9.7,0.497,2.4,4.9,0.405,5.1,4.9,0.872,5.1,5.3,0.1,1.2,3.4,2.6,15.9,16.0,36.0,11.7,0.497,6.0,0.405,5.9,0.872,6.1,6.3,0.2,1.4,4.1,3.2,19.2,0.661,0.6,0.51,0.503,0.384,23.6,1.32,1.56,21.7,0.134,0.101,0.235,,,6.0,4.9,10.9,Kasparas Jakucionis
Maryland,Freshman,['C'],"6'10""",6.83,246,13,20.48,,,19.0,27.8,7.4,10.4,0.548,0.1,1.1,0.1,4.7,4.7,0.767,8.1,1.9,0.9,1.1,2.5,2.0,15.1,19.0,36.0,13.4,0.548,1.4,0.1,6.1,0.767,10.4,2.5,1.2,1.4,3.2,2.6,19.6,0.599,0.553,0.102,0.457,0.318,26.7,0.47,0.77,24.5,0.106,0.121,0.227,,,4.1,3.5,7.7,Derik Queen
Arizona,Sophomore,['SG'],"6'4""",6.33,205,34,20.88,,,18.0,25.4,4.8,7.0,0.484,0.5,1.7,0.194,4.1,3.3,0.867,4.2,2.8,0.6,1.4,1.9,2.4,10.0,18.0,36.0,9.9,0.484,2.4,0.194,4.7,0.867,6.0,4.0,0.9,2.0,2.8,3.5,14.1,0.583,0.508,0.246,0.476,0.343,20.0,0.93,1.46,18.2,0.087,0.087,0.166,,,3.3,4.7,7.9,KJ Lewis
Duke,Freshman,['SF'],"6'6""",6.5,175,53,19.54,,,15.0,13.5,6.6,5.5,0.451,5.7,4.7,0.457,2.0,0.9,0.846,0.9,0.5,0.0,0.0,0.4,1.1,7.8,15.0,36.0,14.6,0.451,12.5,0.457,2.3,0.846,2.3,1.2,0.0,0.0,1.1,3.0,20.9,0.663,0.646,0.854,0.159,,24.1,0.27,1.17,18.6,0.139,0.079,0.218,,,7.3,1.6,8.9,Isaiah Evans
